"행정구역","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율"
"서울특별시  (1100000000)","9,668,465","4,417,954","          2.19","4,701,723","4,966,742","          0.95"
"서울특별시 종로구 (1111000000)","149,384","75,003","          1.99","72,635","76,749","          0.95"
"서울특별시 중구 (1114000000)","125,240","63,686","          1.97","61,222","64,018","          0.96"
"서울특별시 용산구 (1117000000)","230,040","113,093","          2.03","110,722","119,318","          0.93"
"서울특별시 성동구 (1120000000)","293,556","135,870","          2.16","143,387","150,169","          0.95"
"서울특별시 광진구 (1121500000)","346,682","167,427","          2.07","167,310","179,372","          0.93"
"서울특별시 동대문구 (1123000000)","342,837","167,598","          2.05","169,769","173,068","          0.98"
"서울특별시 중랑구 (1126000000)","394,702","185,920","          2.12","195,165","199,537","          0.98"
"서울특별시 성북구 (1129000000)","437,153","195,396","          2.24","210,810","226,343","          0.93"
"서울특별시 강북구 (1130500000)","308,055","145,896","          2.11","150,143","157,912","          0.95"
"서울특별시 도봉구 (1132000000)","325,257","139,114","          2.34","158,620","166,637","          0.95"
"서울특별시 노원구 (1135000000)","523,037","218,270","          2.40","252,383","270,654","          0.93"
"서울특별시 은평구 (1138000000)","479,835","213,914","          2.24","230,279","249,556","          0.92"
"서울특별시 서대문구 (1141000000)","312,173","144,838","          2.16","149,360","162,813","          0.92"
"서울특별시 마포구 (1144000000)","371,890","178,482","          2.08","175,150","196,740","          0.89"
"서울특별시 양천구 (1147000000)","454,251","180,633","          2.51","222,824","231,427","          0.96"
"서울특별시 강서구 (1150000000)","580,185","266,982","          2.17","280,034","300,151","          0.93"
"서울특별시 구로구 (1153000000)","404,408","180,531","          2.24","199,673","204,735","          0.98"
"서울특별시 금천구 (1154500000)","231,733","114,715","          2.02","117,226","114,507","          1.02"
"서울특별시 영등포구 (1156000000)","379,480","184,714","          2.05","187,647","191,833","          0.98"
"서울특별시 동작구 (1159000000)","391,220","184,229","          2.12","189,152","202,068","          0.94"
"서울특별시 관악구 (1162000000)","495,060","274,811","          1.80","248,339","246,721","          1.01"
"서울특별시 서초구 (1165000000)","425,126","173,502","          2.45","203,359","221,767","          0.92"
"서울특별시 강남구 (1168000000)","539,231","234,872","          2.30","257,999","281,232","          0.92"
"서울특별시 송파구 (1171000000)","667,960","281,959","          2.37","322,299","345,661","          0.93"
"서울특별시 강동구 (1174000000)","459,970","196,499","          2.34","226,216","233,754","          0.97"
"부산광역시  (2600000000)","3,391,946","1,530,431","          2.22","1,661,000","1,730,946","          0.96"
"부산광역시 중구 (2611000000)","41,523","23,847","          1.74","20,282","21,241","          0.95"
"부산광역시 서구 (2614000000)","108,135","53,853","          2.01","52,341","55,794","          0.94"
"부산광역시 동구 (2617000000)","88,901","46,003","          1.93","43,509","45,392","          0.96"
"부산광역시 영도구 (2620000000)","113,342","54,903","          2.06","55,846","57,496","          0.97"
"부산광역시 부산진구 (2623000000)","359,886","173,263","          2.08","173,920","185,966","          0.94"
"부산광역시 동래구 (2626000000)","270,745","114,987","          2.35","131,735","139,010","          0.95"
"부산광역시 남구 (2629000000)","267,731","117,876","          2.27","131,037","136,694","          0.96"
"부산광역시 북구 (2632000000)","283,952","120,668","          2.35","140,527","143,425","          0.98"
"부산광역시 해운대구 (2635000000)","402,169","171,376","          2.35","193,618","208,551","          0.93"
"부산광역시 사하구 (2638000000)","311,757","138,854","          2.25","155,228","156,529","          0.99"
"부산광역시 금정구 (2641000000)","232,666","107,561","          2.16","113,595","119,071","          0.95"
"부산광역시 강서구 (2644000000)","137,957","58,141","          2.37","71,245","66,712","          1.07"
"부산광역시 연제구 (2647000000)","209,157","92,583","          2.26","100,700","108,457","          0.93"
"부산광역시 수영구 (2650000000)","176,894","84,311","          2.10","83,573","93,321","          0.90"
"부산광역시 사상구 (2653000000)","212,586","97,556","          2.18","107,405","105,181","          1.02"
"부산광역시 기장군 (2671000000)","174,545","74,649","          2.34","86,439","88,106","          0.98"
"대구광역시  (2700000000)","2,418,346","1,056,627","          2.29","1,193,109","1,225,237","          0.97"
"대구광역시 중구 (2711000000)","76,547","39,111","          1.96","36,799","39,748","          0.93"
"대구광역시 동구 (2714000000)","341,920","155,865","          2.19","168,443","173,477","          0.97"
"대구광역시 서구 (2717000000)","170,700","83,437","          2.05","85,572","85,128","          1.01"
"대구광역시 남구 (2720000000)","146,632","76,582","          1.91","70,471","76,161","          0.93"
"대구광역시 북구 (2723000000)","440,263","187,494","          2.35","219,197","221,066","          0.99"
"대구광역시 수성구 (2726000000)","424,314","170,870","          2.48","205,293","219,021","          0.94"
"대구광역시 달서구 (2729000000)","558,631","235,303","          2.37","275,626","283,005","          0.97"
"대구광역시 달성군 (2771000000)","259,339","107,965","          2.40","131,708","127,631","          1.03"
"인천광역시  (2800000000)","2,942,828","1,267,956","          2.32","1,473,943","1,468,885","          1.00"
"인천광역시 중구 (2811000000)","139,729","68,379","          2.04","72,485","67,244","          1.08"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0","          0.00"
"인천광역시 중구용유출장소 (2811800000)","0","0","          0.00","0","0","          0.00"
"인천광역시 동구 (2814000000)","62,542","28,777","          2.17","31,575","30,967","          1.02"
"인천광역시 미추홀구 (2817700000)","404,343","188,277","          2.15","203,638","200,705","          1.01"
"인천광역시 연수구 (2818500000)","387,450","152,266","          2.54","192,570","194,880","          0.99"
"인천광역시 남동구 (2820000000)","525,354","225,394","          2.33","260,923","264,431","          0.99"
"인천광역시 부평구 (2823700000)","494,962","211,305","          2.34","244,713","250,249","          0.98"
"인천광역시 계양구 (2824500000)","296,750","124,421","          2.39","147,976","148,774","          0.99"
"인천광역시 서구 (2826000000)","542,040","223,229","          2.43","273,778","268,262","          1.02"
"인천광역시 서구검단출장소 (2826500000)","0","0","          0.00","0","0","          0.00"
"인천광역시 강화군 (2871000000)","69,203","33,915","          2.04","34,644","34,559","          1.00"
"인천광역시 옹진군 (2872000000)","20,455","11,993","          1.71","11,641","8,814","          1.32"
"광주광역시  (2900000000)","1,450,062","633,582","          2.29","717,348","732,714","          0.98"
"광주광역시 동구 (2911000000)","102,897","51,029","          2.02","50,810","52,087","          0.98"
"광주광역시 서구 (2914000000)","296,576","131,373","          2.26","145,374","151,202","          0.96"
