"행정구역","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율"
"서울특별시  (1100000000)","9,428,372","4,446,296","          2.12","4,570,048","4,858,324","          0.94"
"서울특별시 종로구 (1111000000)","141,379","72,524","          1.95","68,395","72,984","          0.94"
"서울특별시 중구 (1114000000)","120,437","63,139","          1.91","58,563","61,874","          0.95"
"서울특별시 용산구 (1117000000)","218,650","109,805","          1.99","105,087","113,563","          0.93"
"서울특별시 성동구 (1120000000)","281,000","133,305","          2.11","136,633","144,367","          0.95"
"서울특별시 광진구 (1121500000)","337,416","169,291","          1.99","162,541","174,875","          0.93"
"서울특별시 동대문구 (1123000000)","336,644","169,873","          1.98","165,755","170,889","          0.97"
"서울특별시 중랑구 (1126000000)","385,318","187,413","          2.06","189,537","195,781","          0.97"
"서울특별시 성북구 (1129000000)","430,397","197,082","          2.18","206,961","223,436","          0.93"
"서울특별시 강북구 (1130500000)","293,660","144,313","          2.03","142,567","151,093","          0.94"
"서울특별시 도봉구 (1132000000)","311,694","138,356","          2.25","151,398","160,296","          0.94"
"서울특별시 노원구 (1135000000)","503,734","217,540","          2.32","242,145","261,589","          0.93"
"서울특별시 은평구 (1138000000)","466,746","213,876","          2.18","222,592","244,154","          0.91"
"서울특별시 서대문구 (1141000000)","306,337","145,797","          2.10","145,816","160,521","          0.91"
"서울특별시 마포구 (1144000000)","364,638","180,084","          2.02","171,043","193,595","          0.88"
"서울특별시 양천구 (1147000000)","440,881","181,187","          2.43","215,682","225,199","          0.96"
"서울특별시 강서구 (1150000000)","569,166","273,697","          2.08","273,203","295,963","          0.92"
"서울특별시 구로구 (1153000000)","395,315","183,655","          2.15","194,274","201,041","          0.97"
"서울특별시 금천구 (1154500000)","229,642","119,583","          1.92","115,786","113,856","          1.02"
"서울특별시 영등포구 (1156000000)","375,675","188,832","          1.99","184,660","191,015","          0.97"
"서울특별시 동작구 (1159000000)","380,596","185,773","          2.05","184,030","196,566","          0.94"
"서울특별시 관악구 (1162000000)","486,752","283,623","          1.72","244,748","242,004","          1.01"
"서울특별시 서초구 (1165000000)","404,325","167,749","          2.41","193,159","211,166","          0.91"
"서울특별시 강남구 (1168000000)","529,102","232,777","          2.27","253,072","276,030","          0.92"
"서울특별시 송파구 (1171000000)","658,801","284,853","          2.31","317,180","341,621","          0.93"
"서울특별시 강동구 (1174000000)","460,067","202,169","          2.28","225,221","234,846","          0.96"
"부산광역시  (2600000000)","3,317,812","1,555,867","          2.13","1,619,915","1,697,897","          0.95"
"부산광역시 중구 (2611000000)","39,689","23,960","          1.66","19,239","20,450","          0.94"
"부산광역시 서구 (2614000000)","105,192","53,626","          1.96","50,801","54,391","          0.93"
"부산광역시 동구 (2617000000)","86,462","46,349","          1.87","42,249","44,213","          0.96"
"부산광역시 영도구 (2620000000)","108,156","54,342","          1.99","53,223","54,933","          0.97"
"부산광역시 부산진구 (2623000000)","355,917","178,049","          2.00","171,141","184,776","          0.93"
"부산광역시 동래구 (2626000000)","273,226","119,503","          2.29","132,296","140,930","          0.94"
"부산광역시 남구 (2629000000)","256,333","117,601","          2.18","125,118","131,215","          0.95"
"부산광역시 북구 (2632000000)","278,857","123,569","          2.26","137,274","141,583","          0.97"
"부산광역시 해운대구 (2635000000)","386,785","170,435","          2.27","185,514","201,271","          0.92"
"부산광역시 사하구 (2638000000)","301,987","140,778","          2.15","150,009","151,978","          0.99"
"부산광역시 금정구 (2641000000)","221,256","106,950","          2.07","108,085","113,171","          0.96"
"부산광역시 강서구 (2644000000)","143,207","62,426","          2.29","74,248","68,959","          1.08"
"부산광역시 연제구 (2647000000)","203,536","93,557","          2.18","97,604","105,932","          0.92"
"부산광역시 수영구 (2650000000)","174,806","87,361","          2.00","82,144","92,662","          0.89"
"부산광역시 사상구 (2653000000)","203,789","98,625","          2.07","102,544","101,245","          1.01"
"부산광역시 기장군 (2671000000)","178,614","78,736","          2.27","88,426","90,188","          0.98"
"대구광역시  (2700000000)","2,363,691","1,070,873","          2.21","1,162,865","1,200,826","          0.97"
"대구광역시 중구 (2711000000)","80,199","40,749","          1.97","38,460","41,739","          0.92"
"대구광역시 동구 (2714000000)","339,530","159,422","          2.13","166,741","172,789","          0.96"
"대구광역시 서구 (2717000000)","159,827","81,116","          1.97","79,580","80,247","          0.99"
"대구광역시 남구 (2720000000)","141,519","76,401","          1.85","67,842","73,677","          0.92"
"대구광역시 북구 (2723000000)","430,912","192,697","          2.24","214,151","216,761","          0.99"
"대구광역시 수성구 (2726000000)","411,553","171,480","          2.40","198,731","212,822","          0.93"
"대구광역시 달서구 (2729000000)","536,989","235,883","          2.28","263,961","273,028","          0.97"
"대구광역시 달성군 (2771000000)","263,162","113,125","          2.33","133,399","129,763","          1.03"
"인천광역시  (2800000000)","2,967,314","1,322,632","          2.24","1,485,175","1,482,139","          1.00"
"인천광역시 중구 (2811000000)","152,931","75,960","          2.01","79,359","73,572","          1.08"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0","          0.00"
"인천광역시 중구용유출장소 (2811800000)","0","0","          0.00","0","0","          0.00"
"인천광역시 동구 (2814000000)","58,999","27,618","          2.14","29,691","29,308","          1.01"
"인천광역시 미추홀구 (2817700000)","406,004","194,841","          2.08","204,354","201,650","          1.01"
"인천광역시 연수구 (2818500000)","385,796","156,047","          2.47","191,405","194,391","          0.98"
"인천광역시 남동구 (2820000000)","506,181","226,763","          2.23","251,394","254,787","          0.99"
"인천광역시 부평구 (2823700000)","489,118","217,924","          2.24","241,285","247,833","          0.97"
"인천광역시 계양구 (2824500000)","288,856","127,201","          2.27","143,881","144,975","          0.99"
"인천광역시 서구 (2826000000)","589,013","248,741","          2.37","297,120","291,893","          1.02"
"인천광역시 서구검단출장소 (2826500000)","0","0","          0.00","0","0","          0.00"
"인천광역시 강화군 (2871000000)","69,803","35,114","          1.99","34,918","34,885","          1.00"
"인천광역시 옹진군 (2872000000)","20,613","12,423","          1.66","11,768","8,845","          1.33"
"광주광역시  (2900000000)","1,431,050","652,355","          2.19","707,299","723,751","          0.98"
"광주광역시 동구 (2911000000)","105,909","54,072","          1.96","52,305","53,604","          0.98"
"광주광역시 서구 (2914000000)","287,401","133,554","          2.15","140,726","146,675","          0.96"
"광주광역시 남구 (2915500000)","212,379","95,868","          2.22","101,881","110,498","          0.92"
"광주광역시 북구 (2917000000)","424,707","198,085","          2.14","210,416","214,291","          0.98"
"광주광역시 광산구 (2920000000)","400,654","170,776","          2.35","201,971","198,683","          1.02"
